Timestamp,PM2.5_Fidas200,LCS3*,PM2.5_BAM1020,LCS4*
2020-04-14T02:00:00Z,7.626666667,5.851396923,6,4.559091569
2020-04-14T03:00:00Z,7.851666667,6.098450252,4,7.059461487
2020-04-14T04:00:00Z,8.18,6.792724206,6,7.731569802
2020-04-14T05:00:00Z,8.608333333,7.455740805,7,8.938351106
2020-04-14T06:00:00Z,10.055,7.729543217,7,9.134130655
2020-04-14T07:00:00Z,10.87833333,8.664558919,8,6.461691912
2020-04-14T08:00:00Z,10.15,7.221310638,5,4.318464771
2020-04-14T09:00:00Z,10.33333333,8.030996367,1,4.069566047
2020-04-14T10:00:00Z,11.05333333,8.748713337,1,4.415901026
2020-04-14T11:00:00Z,11.51,9.828294308,3,5.670902226
2020-04-14T12:00:00Z,12.385,11.26102329,4,6.75664514
2020-04-14T13:00:00Z,13.68166667,13.16591866,7,6.934424467
2020-04-14T14:00:00Z,14.635,15.54628651,7,7.968012731
2020-04-14T15:00:00Z,15.53166667,16.258293,12,9.113615617
2020-04-14T16:00:00Z,15.385,16.28774704,12,8.346608957
2020-04-14T17:00:00Z,15.39333333,15.91205768,10,7.958129478
2020-04-14T18:00:00Z,15.99833333,16.72384726,11,9.003747224
2020-04-14T19:00:00Z,17.12666667,18.56712958,9,11.00753712
2020-04-14T20:00:00Z,21.27666667,25.47951342,9,12.44735298
2020-04-14T21:00:00Z,25.05333333,29.05397236,14,14.89307709
2020-04-14T22:00:00Z,23.85666667,29.53335199,16,11.12806115
2020-04-14T23:00:00Z,21.77166667,28.90159275,12,12.23144956
2020-04-15T00:00:00Z,27.50666667,36.09348948,9,8.810620981
2020-04-15T01:00:00Z,24.94333333,34.64933955,8,9.809663208
2020-04-15T02:00:00Z,22.15666667,31.48813892,11,11.07521621
2020-04-15T03:00:00Z,20.45,29.96404229,10,13.10554914
2020-04-15T04:00:00Z,19.12833333,28.50997415,15,16.65612782
2020-04-15T05:00:00Z,18.17,28.27043461,14,16.46613542
2020-04-15T06:00:00Z,19.425,27.44752462,18,13.65795146
2020-04-15T07:00:00Z,21.57,27.92870756,12,11.04697541
2020-04-15T08:00:00Z,23.90666667,28.71615248,17,9.074036234
2020-04-15T09:00:00Z,20.45166667,23.35972373,8,6.792952185
2020-04-15T10:00:00Z,16.58833333,17.47612766,7,7.39419022
2020-04-15T11:00:00Z,12.815,12.44309232,10,6.429166318
2020-04-15T12:00:00Z,12.325,12.41453993,11,5.584724448
2020-04-15T13:00:00Z,12.515,11.82245348,9,4.194405052
2020-04-15T14:00:00Z,10.64166667,10.0266583,8,2.968830615
2020-04-15T15:00:00Z,13.58833333,14.21921592,4,3.152768428
2020-04-15T16:00:00Z,13.16666667,13.28914478,3,4.630559917
2020-04-15T17:00:00Z,14.78166667,15.74074332,4,6.653230103
2020-04-15T18:00:00Z,16.01666667,15.98779665,4,8.917361495
2020-04-15T19:00:00Z,16.51666667,16.91229305,5,13.00703721
2020-04-15T20:00:00Z,18.92166667,21.1738127,17,18.51489015
2020-04-15T21:00:00Z,19.13166667,22.81241946,20,17.34269124
2020-04-15T22:00:00Z,29.44833333,34.42302427,18,24.39088913
2020-04-15T23:00:00Z,24.90333333,30.34183552,26,26.59120213
2020-04-16T00:00:00Z,23.12,30.68115815,27,25.04867647
2020-04-16T01:00:00Z,22.57166667,30.23814525,23,20.0570134
2020-04-16T02:00:00Z,22.825,32.48146161,18,22.99286985
2020-04-16T03:00:00Z,19.69166667,27.36517351,22,20.50455331
2020-04-16T04:00:00Z,16.28166667,21.31176584,19,19.53408079
2020-04-16T05:00:00Z,15.87,21.80316753,15,18.14144625
2020-04-16T06:00:00Z,16.84166667,21.5239552,14,19.38825984
2020-04-16T07:00:00Z,17.31333333,20.55828324,18,17.12670137
2020-04-16T08:00:00Z,16.03666667,17.77938412,14,17.01963263
2020-04-16T09:00:00Z,15.95833333,16.80018734,15,16.23254775
2020-04-16T10:00:00Z,16.98166667,17.24470301,15,16.42260402
2020-04-16T11:00:00Z,15.95,17.083607400000002,17,17.15541357
2020-04-16T12:00:00Z,16.10666667,16.83535187,20,15.68424365
2020-04-16T13:00:00Z,15.64166667,17.53233079,15,10.97265711
2020-04-16T14:00:00Z,19.58,21.05749927,10,10.33617237
2020-04-16T15:00:00Z,19.49333333,21.03766288,6,10.95802315
2020-04-16T16:00:00Z,22.76833333,24.76870914,6,11.46922814
2020-04-16T17:00:00Z,20.07833333,20.25232182,12,13.90340988
2020-04-16T18:00:00Z,24.41,25.69681216,15,15.42916174
2020-04-16T19:00:00Z,22.32666667,22.47760509,15,12.50765204
2020-04-16T20:00:00Z,14.02166667,13.06463281,12,10.48023971
2020-04-16T21:00:00Z,17.08,19.36028498,9,8.667530183
2020-04-16T22:00:00Z,19,23.29240019,10,8.20665299
2020-04-16T23:00:00Z,21.89166667,28.49284272,7,7.851362613
2020-04-17T00:00:00Z,17.165,24.91597937,6,6.322199309
2020-04-17T01:00:00Z,13.455,20.1874027,5,4.294568807
2020-04-17T02:00:00Z,12.675,19.44624271,4,3.502482441
2020-04-17T03:00:00Z,9.698333333,13.86680475,6,2.939537991
2020-04-17T04:00:00Z,11.86,17.3147315,2,3.211655595
